Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	10.076957	3.3940635	21.518595	5.452269	11.840339	1.2939788	14.92612	10.041089	200.0	200.0	9999	11.596468	6.0278754	23.195034	-0.058057442	11.596492	6.027839	23.183012	-0.069927216	-2.7326777	0.24299538	2.5926552	-8.246029	-12.139106	0.00844423	111.02677059173584
2	12.190429	5.7996597	43.49022	5.6277075	12.411451	0.8170662	13.42175	11.023022	200.0	200.0	19999	29.422743	4.4226217	41.100937	17.212523	29.422745	4.422663	41.088932	17.35721	-2.7327943	0.24198847	2.611258	-8.547824	-29.960478	0.016284997	245.79168367385864
3	13.346888	7.0217934	43.5858	5.708804	20.317427	12.506344	45.269093	12.1983385	200.0	200.0	29999	41.225742	3.0863733	58.247356	24.427328	41.225723	3.0865967	58.61603	23.646286	-2.7320054	0.24678177	5.3904963	-8.481878	-41.759037	0.033896197	375.7492036819458
4	13.523762	11.0364065	70.6713	6.0967155	21.54023	14.306834	51.91315	11.077826	200.0	200.0	39999	48.334763	2.597799	64.62097	30.820808	48.334763	2.5978973	64.92196	30.5124	-2.7298822	0.25718	4.7205877	-8.530897	-48.861843	0.053248852	507.01543641090393
5	19.028284	27.826246	199.87535	6.3163595	20.354563	9.841655	36.63448	10.594343	200.0	200.0	49999	52.526215	2.9468222	86.95314	20.216978	52.526184	2.946642	86.97531	17.983889	-2.717764	0.32786033	9.148014	-9.42782	-53.038174	0.168754	634.5782780647278
6	19.619408	26.081974	186.12614	5.722024	37.663723	24.095448	71.71356	15.410937	200.0	200.0	59999	54.959057	3.7626328	135.48468	21.460567	54.95908	3.76085	135.30096	22.508371	-2.7010384	0.42784348	11.837337	-9.583243	-55.460213	0.41308632	763.7121214866638
7	18.099226	11.497406	66.857124	6.160204	61.669792	35.25697	105.901215	9.195741	200.0	200.0	69999	56.244484	4.860477	197.15916	10.2818165	56.244625	4.854319	194.82915	9.337642	-2.6834688	0.53551644	14.920139	-9.901207	-56.724537	0.80727434	899.3112516403198
8	24.35961	48.247917	348.70505	5.618963	26.527256	12.363126	49.50893	14.329757	200.0	200.0	79999	56.467594	6.7058487	214.72142	-3.8823197	56.466965	6.708633	213.84293	-16.839863	-2.671477	0.56706625	21.122824	-9.747739	-56.91522	1.1024383	1042.0323467254639
9	18.172466	13.015803	83.67284	7.09002	22.11134	13.378362	54.03841	8.9716015	200.0	200.0	89999	55.598625	8.761987	294.8945	-27.116688	55.597473	8.769661	295.8696	-31.752184	-2.6558592	0.6259266	21.280117	-8.603388	-56.01522	1.8426516	1175.284351825714
10	17.127884	11.998597	63.207424	6.6266937	29.640167	18.00424	54.178295	9.401872	200.0	200.0	99999	54.616882	10.509577	365.70587	-25.53231	54.616753	10.506179	363.20847	-35.46855	-2.620841	0.7856713	44.49593	-10.675079	-55.03309	2.761218	1314.4016845226288
11	16.652494	9.085911	42.627377	5.6717677	10.306696	0.9021139	11.630341	8.533501	200.0	200.0	109999	53.69866	12.469513	500.3253	-23.623285	53.699047	12.464675	491.9305	-29.20953	-2.5886705	0.9885538	31.305147	-9.818545	-54.080814	3.8412097	1456.413681268692
12	15.6124525	10.244878	64.122856	5.793408	15.761818	2.0288947	18.545378	12.354258	200.0	200.0	119999	52.11368	16.209536	622.02985	-37.047825	52.11363	16.218985	626.752	-42.021957	-2.5460033	1.0885918	41.241646	-10.843165	-52.44273	6.4982176	1587.6569442749023
13	14.928228	6.552682	34.21838	5.3068027	10.396848	0.26271915	10.842894	10.024942	200.0	200.0	129999	50.139843	20.582386	654.6439	-53.755558	50.14088	20.593128	635.17035	-49.333664	-2.3841512	1.5479637	32.19617	-9.664756	-50.44779	11.03776	1724.6508357524872
14	16.273344	10.711729	70.74442	6.321522	3.954656	1.9469082	7.8064055	2.5763545	200.0	200.0	139999	49.192772	23.426794	706.3149	-44.84976	49.191925	23.43514	703.21344	-39.743492	-2.3787923	1.4166557	26.001896	-11.279212	-49.453262	13.797198	1865.2152769565582
15	23.417963	54.66707	398.10437	5.935673	43.549644	49.4829	141.85783	15.725918	200.0	200.0	149999	48.46921	20.836525	672.0853	-65.36366	48.468323	20.84331	681.8894	-63.86408	-2.4688516	1.0795032	26.181122	-12.170027	-48.71924	11.510573	2006.5597987174988
16	18.17536	9.921335	52.464127	5.841077	14.964943	5.994517	24.062906	7.043077	200.0	200.0	159999	48.794777	19.428915	735.9581	-61.438255	48.7936	19.435019	723.8803	-66.05611	-2.4983761	1.0075104	21.185066	-10.642619	-49.05362	9.775917	2142.49329328537
17	29.805813	92.02378	669.6661	6.126157	15.071768	4.793846	21.837683	9.131959	200.0	200.0	169999	49.41061	22.059885	720.83154	-59.414436	49.409912	22.06017	705.3649	-62.23209	-2.4157898	1.23786	27.739689	-10.500579	-49.68234	11.064177	2281.548446893692
18	27.771173	48.81738	265.28458	5.102676	21.407436	4.926821	30.582586	14.899316	200.0	200.0	179999	50.66097	27.74044	705.432	-51.42492	50.660732	27.73946	705.5752	-48.979443	-2.369853	1.3843747	29.549187	-9.934231	-50.91749	11.833913	2419.941544532776
19	15.788669	13.906726	80.81106	6.0448017	15.513507	6.6562037	34.870064	11.835553	200.0	200.0	189999	51.469254	32.202797	716.65295	-42.147064	51.46804	32.21371	712.47906	-45.49696	-2.3207676	1.4763744	32.284283	-11.703361	-51.707874	16.664665	2557.4514729976654
20	43.338833	144.847	1046.0808	5.4715233	16.850676	9.360561	32.580544	4.997013	200.0	200.0	199999	50.794277	29.974394	693.0018	-58.279274	50.792675	29.987959	669.8532	-58.402027	-2.3249094	1.3549988	25.779005	-10.367979	-51.0253	14.105657	2693.4948041439056
21	23.930412	17.181433	88.77357	6.2478423	30.557049	25.033037	75.499	7.190137	200.0	200.0	209999	49.14743	23.695204	477.71274	-103.58286	49.14419	23.72419	473.2332	-97.74456	-2.3439574	1.2817037	22.51911	-10.104305	-49.355667	11.680493	2828.222057580948
22	27.318842	34.21581	169.0951	8.094038	30.329401	24.489975	62.019646	9.644236	200.0	200.0	219999	46.546738	18.230877	307.74423	-99.56848	46.544994	18.25017	290.32883	-94.483635	-2.4022508	1.1023687	14.704695	-11.792105	-46.764988	7.9977593	2970.905467748642
23	20.364723	18.887669	124.85397	6.186748	53.34141	43.16035	167.62291	15.136374	200.0	200.0	229999	44.477894	16.796417	336.62488	-87.55923	44.476135	16.80505	343.40463	-83.527016	-2.4452188	1.0436771	19.075788	-9.755791	-44.6993	7.764295	3102.7044253349304
24	18.324629	18.29611	123.22466	5.6385565	10.705306	1.8047941	12.652057	7.7904186	200.0	200.0	239999	42.78105	16.45387	321.58667	-85.253525	42.780373	16.459965	322.8213	-84.80503	-2.465216	0.95297796	15.989479	-11.1769285	-43.012844	6.8819017	3241.4028573036194
