Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	13.203713	6.3763022	36.539757	3.9408262	12.219804	0.0	12.219804	12.219804	200.0	200.0	9999	11.808475	6.2584558	26.969114	-0.026079044	11.808464	6.258502	27.085144	-0.022648163	-2.7333338	0.23813587	-1.204742	-8.742841	-12.345047	0.015782587	745.8578448295593
2	13.503718	6.19073	33.448715	5.512034	13.565773	0.0	13.565773	13.565773	200.0	200.0	19999	29.821642	4.6758018	46.297615	0.12339933	29.821627	4.676201	46.112038	0.028714936	-2.732327	0.24065556	1.6879725	-8.144301	-30.3376	0.050645117	1601.2288036346436
3	16.24419	9.883057	45.941505	5.2427855	16.753048	0.0	16.753048	16.753048	200.0	200.0	29999	41.04598	3.9057515	67.83564	3.812395	41.045944	3.9067197	68.2787	2.8632925	-2.7289846	0.2578402	5.0891094	-9.200076	-41.548836	0.10099469	2431.891486644745
4	20.038454	16.424627	90.85985	7.2923956	145.29774	0.0	145.29774	145.29774	200.0	200.0	39999	47.615215	4.259752	73.97697	2.4456022	47.61519	4.2609043	75.048805	2.700258	-2.7236845	0.2799139	5.3051577	-9.136709	-48.094242	0.19959618	3625.5201437473297
5	38.45511	54.58009	328.82272	8.739969	111.17967	7.6293945e-06	111.17968	111.17968	200.0	200.0	49999	51.22493	5.468634	91.613556	1.0612173	51.224754	5.4714017	80.7194	-0.8654108	-2.7101858	0.33570844	14.039446	-7.8789606	-51.678356	0.48664707	4827.047553539276
6	31.97414	25.82235	118.7932	8.817703	31.57446	1.9073486e-06	31.574461	31.574461	200.0	200.0	59999	53.386047	7.1320834	77.20216	1.1141226	53.385918	7.1341157	76.26178	0.19375277	-2.6908705	0.3903802	7.9868326	-8.653466	-53.825363	0.8129256	6552.1400578022
7	41.975357	32.536015	216.25946	11.669681	273.88287	0.0	273.88287	273.88287	200.0	200.0	69999	54.506577	8.148589	122.01031	6.489238	54.506256	8.150219	126.56095	4.9820857	-2.6661534	0.45572978	10.775974	-9.030521	-54.918713	1.164779	8432.90188407898
8	49.590755	41.56078	265.07007	12.714834	110.357155	7.6293945e-06	110.35715	110.35715	200.0	200.0	79999	54.88319	8.568221	155.58244	6.4906154	54.88308	8.569032	151.68042	6.893841	-2.6439476	0.5004634	13.250536	-9.777424	-55.286633	1.3028594	10393.769334554672
9	53.076454	33.28571	171.96907	11.740105	102.89652	0.0	102.89652	102.89652	200.0	200.0	89999	55.103886	8.817525	167.50522	2.9000614	55.10388	8.820175	158.15295	3.6807394	-2.6200113	0.55106485	15.545408	-9.524676	-55.49289	1.4505506	12319.339876890182
10	67.15449	53.969532	292.85464	16.529705	96.67476	7.6293945e-06	96.67477	96.67477	200.0	200.0	99999	55.406113	9.148479	190.87872	-0.55143	55.406155	9.151111	183.22844	1.9219769	-2.5885627	0.61928415	13.571859	-9.941684	-55.77483	1.7760646	14398.463846445084
11	66.121185	53.080055	362.003	12.939325	101.38808	0.0	101.38808	101.38808	200.0	200.0	109999	55.676136	9.712237	178.89551	0.3455874	55.676193	9.711162	182.98872	0.69310415	-2.5440922	0.68080854	14.993708	-10.359787	-56.020824	2.260422	16310.94191789627
12	87.17789	48.74325	219.37965	18.509287	116.65288	7.6293945e-06	116.652885	116.652885	200.0	200.0	119999	56.084957	10.8834095	230.11916	3.6881661	56.08506	10.880796	232.61401	2.504818	-2.5005581	0.75791717	24.054773	-9.147131	-56.408287	2.755745	18314.667281389236
13	95.82085	60.309505	281.47882	23.04062	84.30284	0.0	84.30284	84.30284	200.0	200.0	129999	56.710064	12.387479	223.6928	0.675401	56.71026	12.386345	223.92378	0.74023473	-2.4497178	0.82911026	21.464262	-10.53107	-57.000282	3.86098	20273.2949552536
14	156.90674	96.764915	567.63873	12.12852	500.03995	3.0517578e-05	500.03992	500.03992	200.0	200.0	139999	57.9188	14.631643	251.93102	-18.397764	57.918858	14.630904	258.50253	-18.326023	-2.3645463	0.9597038	24.369852	-9.215175	-58.17444	5.083713	22288.654475688934
15	152.9113	65.77191	325.9538	21.178959	98.07744	7.6293945e-06	98.07743	98.07743	200.0	200.0	149999	60.623184	18.796738	270.6682	-24.924871	60.62307	18.796692	277.03122	-25.464235	-2.242328	1.0629168	19.27054	-11.476391	-60.835674	7.6074142	24390.221815109253
16	202.14731	79.84544	408.40265	79.136345	123.873924	7.6293945e-06	123.87393	123.87393	200.0	200.0	159999	64.52011	23.985306	324.0954	-28.496365	64.52015	23.98536	322.87076	-32.12244	-2.058959	1.2075241	17.808651	-12.861111	-64.70124	10.0732765	26327.701051473618
17	217.12375	104.25419	468.63165	24.968	104.89801	0.0	104.89801	104.89801	200.0	200.0	169999	69.43484	29.917202	380.7201	-45.179417	69.435036	29.915224	369.11264	-48.646626	-1.8413104	1.3843837	19.196198	-12.578121	-69.59079	13.229641	27507.14179611206
18	252.00818	118.23823	521.116	97.44548	470.84677	0.0	470.84677	470.84677	200.0	200.0	179999	74.552246	35.585358	383.90582	-57.972675	74.55208	35.582386	381.10785	-61.626183	-1.6163702	1.5137212	17.34722	-11.944727	-74.69341	16.090601	28723.90826511383
19	281.56595	115.33644	584.15564	129.4117	173.495	0.0	173.495	173.495	200.0	200.0	189999	80.36018	41.287205	311.02563	-73.98238	80.36072	41.28681	313.75482	-76.116714	-1.4776579	1.5846605	19.250616	-12.034529	-80.5051	17.991537	29923.065973758698
20	303.57404	132.05699	568.89246	43.665665	531.3949	6.1035156e-05	531.39484	531.39484	200.0	200.0	199999	87.60908	47.5133	273.40305	-74.525406	87.60929	47.513756	273.2581	-76.871445	-1.314723	1.6560905	20.101892	-11.94421	-87.77077	20.977125	30990.718962430954
21	310.1341	125.83621	548.86786	14.266191	410.61334	3.0517578e-05	410.6133	410.6133	200.0	200.0	209999	95.684	53.866234	270.9623	-58.213577	95.68458	53.864376	266.11176	-58.381096	-1.1212409	1.7468386	21.91622	-11.259796	-95.87106	23.548176	195946.03781557083
22	296.33597	126.79586	594.7894	12.454339	98.618416	0.0	98.618416	98.618416	200.0	200.0	219999	103.93672	60.080917	222.60367	-61.035576	103.937874	60.07397	223.2616	-63.140503	-0.9618423	1.8377063	22.609304	-12.289539	-104.12799	26.34025	196674.8913936615
23	294.292	131.40428	615.5472	93.350555	625.27966	6.1035156e-05	625.2796	625.2796	200.0	200.0	229999	112.10013	65.22752	221.4784	-71.24902	112.10159	65.22093	219.65323	-71.84077	-0.80937874	1.9201629	21.25383	-12.155828	-112.33775	29.638313	197452.37292957306
24	314.95255	139.7546	555.39575	96.04676	546.9858	0.0	546.9858	546.9858	200.0	200.0	239999	118.97127	67.8601	222.43776	-100.54829	118.97197	67.85282	221.70087	-102.194984	-0.8232756	1.9388882	20.9445	-12.633659	-119.180725	31.611881	198243.87250065804
25	355.4316	139.21368	755.1094	106.373276	447.454	3.0517578e-05	447.45398	447.45398	200.0	200.0	249999	123.59788	68.81268	300.92368	-112.66508	123.59833	68.808716	286.86615	-114.63038	-0.819029	1.9797837	23.1588	-12.361166	-123.8153	31.691004	199071.77658462524
26	328.77274	145.81401	715.1946	89.70163	604.76843	6.1035156e-05	604.7684	604.7684	200.0	200.0	259999	128.53185	70.60718	352.9501	-114.944176	128.53275	70.60398	359.4481	-123.11289	-0.78047645	2.0080874	22.163902	-14.328136	-128.74275	32.690445	199865.48741412163
27	331.86526	108.08275	603.4103	110.87883	513.0126	6.1035156e-05	513.0125	513.0125	200.0	200.0	269999	133.50427	72.43673	486.8552	-128.46815	133.50441	72.43558	494.5489	-134.45525	-0.74122226	1.9981595	19.334656	-13.644423	-133.70193	33.176952	200674.4412059784
28	318.29315	132.9106	666.22833	25.82701	254.6132	1.5258789e-05	254.61319	254.61319	200.0	200.0	279999	138.64352	74.74192	696.6741	-150.60916	138.64423	74.74281	687.7792	-149.04456	-0.6947114	2.0331852	30.364983	-11.820799	-138.8263	34.621864	201452.78447532654
29	328.78043	120.09672	564.12885	120.14183	236.86856	3.0517578e-05	236.86853	236.86853	200.0	200.0	289999	143.14137	76.08355	704.12964	-152.54002	143.14217	76.081505	716.00464	-151.08434	-0.6956549	2.045906	48.606964	-11.893322	-143.30241	35.936718	202291.0275835991
30	353.8714	111.581985	614.25934	85.59082	211.08676	1.5258789e-05	211.08678	211.08678	200.0	200.0	299999	146.94415	77.2366	676.3825	-174.91489	146.946	77.23353	675.7135	-172.07518	-0.6649124	2.047971	50.45367	-14.100996	-147.10666	36.434624	203098.8268814087
31	339.00568	122.23234	556.8804	127.72938	515.8539	0.0	515.8539	515.8539	200.0	200.0	309999	150.27737	77.56106	570.20544	-181.95912	150.27852	77.5573	550.4233	-187.23767	-0.64349926	2.0579083	36.31417	-13.25412	-150.41887	36.888268	203951.46912503242
32	342.70703	137.70721	813.74084	37.706528	558.3009	6.1035156e-05	558.30096	558.30096	200.0	200.0	319999	153.25984	78.32939	355.37808	-193.69655	153.25977	78.32856	359.40097	-199.85515	-0.70897585	2.029289	26.57219	-12.374253	-153.3736	36.243423	204747.61220788956
33	357.4107	135.72908	806.8962	40.16405	576.3696	0.0	576.3696	576.3696	200.0	200.0	329999	155.42429	78.4981	276.35306	-205.4895	155.42355	78.49939	278.95392	-210.13899	-0.71822435	2.0424857	38.560024	-12.47243	-155.52402	36.03392	205657.26901316643
