Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
22	32.98395	60.451733	351.60645	2.875169	25.230253	24.51394	68.54901	4.6936693	200.0	200.0	219999	125.66055	190.82225	2959.6685	-1063.2715	125.65249	190.8224	2993.7979	-1033.3564	2.4542623	3.595746	49.817123	-12.501259	-125.85853	477.1795	3018.591719865799
23	30.67068	92.32731	667.5825	3.4562871	14.181677	11.803565	31.964504	4.4173417	200.0	200.0	229999	109.57038	182.15044	1979.9316	-961.5626	109.56424	182.16928	1914.8878	-955.0729	1.9687271	3.3079538	52.68473	-12.857529	-109.65651	337.00873	3154.9137954711914
24	16.936434	14.033931	86.78076	3.4816322	9.2688	5.937968	18.366291	4.4148607	200.0	200.0	239999	77.13355	158.02751	1497.3826	-901.02423	77.129585	158.0599	1483.7673	-902.8405	1.2744749	3.087481	40.62608	-13.195786	-76.88589	247.59012	3290.461339712143
25	12.120669	5.9831834	28.781088	3.541538	9.766385	3.1388922	14.618874	5.1174884	200.0	200.0	249999	45.089916	132.08336	1183.7927	-925.7773	45.08708	132.08514	1205.3534	-917.5537	0.68367285	2.9095905	34.891796	-14.11268	-44.808846	169.33847	3428.5941195487976
26	9.5323925	3.1559613	18.782059	3.8581686	7.576612	0.7941063	9.344632	6.6475916	200.0	200.0	259999	24.18833	113.13018	855.1337	-918.0904	24.18558	113.12353	846.36383	-902.14355	0.21134077	2.7357955	26.549	-13.116314	-23.875504	128.91756	3567.764727830887
27	9.9482565	3.743473	20.644564	4.7412786	8.56156	4.2889624	15.05951	4.276437	200.0	200.0	269999	14.123076	98.32778	891.97815	-879.05707	14.122137	98.337296	876.07623	-865.51465	-0.16911694	2.6524618	28.625538	-13.208839	-13.81972	110.52902	3704.3890924453735
28	11.594665	5.829197	29.409628	3.143688	9.906965	1.8680273	14.940528	8.42498	200.0	200.0	279999	10.317255	84.79522	764.09674	-822.50916	10.318271	84.79846	788.195	-830.4204	-0.46359855	2.4808176	33.17032	-11.554995	-10.03127	85.55491	3843.8415145874023
29	17.209087	20.509428	128.96419	4.0578504	8.681818	2.7667851	15.889495	5.7314324	200.0	200.0	289999	9.530165	70.823944	665.4075	-675.71344	9.531931	70.82214	669.444	-675.647	-0.73817706	2.3368914	33.116734	-11.841412	-9.273584	63.86015	3981.6480729579926
30	24.286978	76.31044	553.1102	4.1642466	7.2493377	3.1473396	11.72443	3.8539038	200.0	200.0	299999	9.253539	65.00733	795.2852	-585.32715	9.256326	65.01007	808.6082	-583.2393	-0.9937392	2.2290905	28.867664	-12.12347	-8.964229	57.75103	4117.451422691345
31	10.959215	8.189562	47.588593	3.1045632	9.5129175	3.2401702	13.809423	5.726896	200.0	200.0	309999	10.097487	60.05488	815.012	-459.63885	10.099253	60.036545	818.95215	-467.23267	-1.0830079	2.1546552	26.47266	-12.655397	-9.8746395	52.446068	4249.56059384346
