Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	339.28284	156.0181	1012.55133	148.82642	375.03183	110.476265	588.0787	245.14249	200.0	200.0	9999	42.160275	28.901297	235.54004	-0.099292055	42.16021	28.898548	234.09659	0.074846216	-2.6465964	0.4814243	5.3799663	-8.872553	-42.58496	1.3269421	165.74337887763977
2	806.5486	346.54288	1455.451	179.26805	1151.6942	317.91733	1466.7983	640.98615	200.0	200.0	19999	171.6367	118.7985	571.89233	22.690191	171.63791	118.798935	572.07916	23.106129	0.13433088	2.9887486	10.630337	-13.142802	-172.48773	14.3449545	342.1764085292816
3	1261.1178	388.86737	1811.1605	579.07086	911.203	199.04138	1163.8016	520.36816	200.0	200.0	29999	374.87207	159.96127	667.4285	-11.61645	374.85968	159.99539	667.9513	-30.148191	3.0234015	3.312127	14.447433	-13.13419	-376.64313	33.211334	517.3390491008759
4	1064.4901	428.53595	1825.6932	410.34134	914.4098	135.06866	1171.1008	684.37036	200.0	200.0	39999	490.0631	137.86067	690.07263	-35.6845	490.05795	137.883	686.7089	-44.743176	1.9907931	3.2667868	13.775808	-17.659061	-491.0711	36.40569	694.457245349884
5	1181.0337	292.78473	1677.3827	544.6212	1423.0535	262.2687	1781.6613	1044.6163	200.0	200.0	49999	532.7745	117.49024	690.00226	-44.602695	532.77313	117.50258	686.9612	-54.580727	1.1812239	3.2744987	13.9333935	-13.21932	-533.3913	37.978767	877.9328119754791
6	1245.672	357.2201	1837.7971	610.98987	1358.765	274.5696	1799.1151	1017.1075	200.0	200.0	59999	557.5046	108.68408	695.9476	-51.980892	557.4929	108.75233	690.04395	-65.47064	0.6717443	3.161523	16.85462	-12.803691	-557.9159	40.988705	1053.5681891441345
7	1281.9254	337.02435	1816.6807	524.79083	1365.1941	401.84357	1863.027	634.9154	200.0	200.0	69999	578.4238	105.3858	725.215	-56.345264	578.4178	105.424355	723.21344	-72.25665	0.47458914	3.0330005	16.280691	-12.343882	-578.785	43.051292	1245.7166140079498
8	1277.4888	339.36557	1816.295	627.69244	1165.2015	329.65036	1616.412	730.6465	200.0	200.0	79999	598.62616	105.88172	752.5798	-58.78596	598.6255	105.889465	751.9337	-67.10519	0.33953497	3.0709064	22.628319	-13.848956	-598.875	44.18619	1426.2990362644196
9	1228.8004	399.46173	1805.326	467.514	1418.9519	407.64114	1889.3676	692.84	200.0	200.0	89999	614.42316	104.46493	757.003	-69.63389	614.4218	104.46948	758.4368	-78.20204	0.20145485	3.0485046	18.347027	-16.243242	-614.5985	43.76985	1617.683424949646
10	1251.2028	362.56097	1855.9066	549.3833	1587.9747	318.6581	1760.9207	763.3095	200.0	200.0	99999	626.04694	101.37993	767.4373	-78.6217	626.0457	101.38612	767.5093	-89.729485	0.06987899	2.9736342	21.902946	-12.468811	-626.232	42.254627	1802.888706445694
11	1308.9387	399.7372	1856.8607	499.9592	1360.8678	344.85852	1779.245	981.0391	200.0	200.0	109999	636.30304	98.33544	790.8116	-84.53617	636.3018	98.34705	792.92053	-89.68524	0.027285013	2.928234	17.565655	-11.974721	-636.45966	41.83765	1985.7760074138641
12	1372.4078	335.73123	1852.0123	571.2578	1186.5845	348.4093	1571.317	729.8542	200.0	200.0	119999	644.6388	96.39388	816.9147	-87.60077	644.63776	96.41107	827.99774	-97.60285	0.055609334	2.8917694	16.225208	-12.682463	-644.8251	41.990845	2179.3082358837128
13	1349.2983	346.04953	1838.3484	415.24564	1052.6082	339.6956	1797.4619	554.3359	200.0	200.0	129999	655.0503	96.007034	845.5269	-94.68943	655.04926	96.02806	855.63043	-102.435356	0.05262846	2.8705497	23.841076	-12.514385	-655.179	41.545383	2371.2145490646362
14	1299.8983	389.97736	1812.4037	419.06894	1248.318	481.27866	1831.7378	630.2516	200.0	200.0	139999	664.1848	95.44456	870.2857	-106.632126	664.1834	95.46362	882.9277	-117.26668	-0.075213656	2.8739057	19.830997	-15.655633	-664.2333	41.564064	2559.4398317337036
15	1306.5844	326.199	1803.9261	633.1172	1279.7017	278.23788	1878.7186	871.8743	200.0	200.0	149999	669.11707	95.715935	896.95654	-115.94108	669.1168	95.72964	908.41345	-122.839294	-0.09049205	2.8566277	19.390865	-12.247957	-669.1185	41.75387	2751.0417506694794
16	1242.0736	391.48465	1848.8706	435.61115	1441.1334	152.16843	1601.3657	1238.1239	200.0	200.0	159999	674.15686	96.1506	920.079	-109.95547	674.15607	96.16025	940.74963	-116.80997	-0.09502786	2.794331	20.780973	-15.947621	-674.1347	42.27507	2936.039019346237
17	1421.8032	275.85742	1880.9297	636.9761	1260.769	404.19827	1755.2725	553.83374	200.0	200.0	169999	678.07776	97.396286	933.8516	-95.53854	678.077	97.39991	951.2484	-102.53848	-0.12880075	2.7689178	23.989866	-12.867413	-678.0264	42.002693	3119.2857501506805
18	1378.4847	330.22232	1848.6317	615.9335	1283.8113	255.35666	1663.2781	727.68396	200.0	200.0	179999	682.73	99.06861	950.9863	-95.48305	682.7298	99.07117	962.1641	-98.40233	-0.112378225	2.7301037	20.734459	-13.761388	-682.65594	43.50153	3313.1544649600983
19	1385.6669	325.88092	1849.9492	552.3294	1443.6149	218.27003	1730.6654	987.72253	200.0	200.0	189999	687.8701	98.884766	959.65924	-90.729935	687.8695	98.88689	970.3846	-92.762344	-0.091399744	2.684085	17.229239	-13.423825	-687.8163	42.820904	3491.6982707977295
20	1411.2428	323.0134	1838.512	620.76154	1386.8431	269.75427	1700.0276	645.8169	200.0	200.0	199999	691.96313	99.453094	984.96747	-60.38359	691.96313	99.45406	980.8837	-65.78762	-0.1419873	2.6735828	24.321226	-12.544006	-691.83636	43.46097	3681.2810711860657
21	1473.341	312.0238	1878.2341	756.5127	1521.181	305.52228	1797.193	679.86646	200.0	200.0	209999	696.3606	100.120476	1005.2985	-32.00746	696.36005	100.1239	1001.17145	-36.139256	-0.16662882	2.6780033	21.814812	-13.045462	-696.23804	42.983418	3873.4703707695007
22	1388.4393	349.6181	1871.6002	605.81464	1523.7428	228.08505	1850.3871	1334.4121	200.0	200.0	219999	701.4125	100.83813	1031.2598	-10.802733	701.41223	100.83738	1024.1875	-14.723526	-0.21668957	2.644831	19.506397	-13.113686	-701.2689	42.231438	4064.3992743492126
23	1361.2092	333.0841	1857.9156	579.259	1601.6448	153.0805	1809.455	1426.952	200.0	200.0	229999	706.0421	102.15307	1048.6332	-12.030435	706.04205	102.15353	1047.5924	-13.62953	-0.2197294	2.62099	15.6515255	-15.344788	-705.9344	42.421814	4255.0440974235535
24	1382.1427	361.88965	1889.1079	621.33984	1590.4832	138.02742	1761.668	1389.4138	200.0	200.0	239999	710.96844	102.68584	1066.6561	-15.561865	710.9684	102.68838	1064.506	-18.821358	-0.22448221	2.6139247	18.053993	-12.516201	-710.8501	42.228237	4449.367577314377
