Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	305.7048	115.32013	698.3964	137.03804	922.1053	251.77763	1382.6276	362.72357	200.0	200.0	9999	40.865227	25.343685	200.87352	-0.020473883	40.865067	25.345129	200.73656	-0.031165162	-2.6267734	0.5118874	2.3449004	-10.393408	-41.296623	1.0168514	732.679869890213
2	865.0653	382.5057	1723.4772	243.5065	893.8356	464.14993	1575.4216	264.11655	200.0	200.0	19999	159.00343	106.82934	517.19794	-11.09866	159.00343	106.83332	517.86255	0.017638752	-0.67513764	2.414596	12.725912	-13.420441	-159.65778	9.664816	1538.6042585372925
3	994.69904	377.5667	1803.0277	383.9487	989.8514	403.01175	1516.4109	450.41235	200.0	200.0	29999	345.17847	140.19565	610.95953	-35.130997	345.19894	140.14687	611.3342	-0.07886295	2.1530216	3.4689949	15.976349	-15.513021	-346.58154	28.853697	2413.9515812397003
4	1330.3921	292.9312	1804.9457	692.4552	1054.1488	338.8317	1672.1866	691.4153	200.0	200.0	39999	460.79926	133.31865	696.0465	-34.69373	460.811	133.28491	697.47577	-0.13105872	1.9889762	3.8135958	16.530037	-13.335938	-461.83813	39.580906	3254.4759097099304
5	1385.8715	300.4227	1834.6556	834.48413	1493.3352	199.00346	1718.544	1169.5238	200.0	200.0	49999	540.20416	136.45212	781.2303	-17.343285	540.2057	136.45065	782.4783	-0.13666844	2.4369671	3.7930396	19.0807	-14.782671	-541.29193	43.52438	4097.7442808151245
6	1409.785	266.01398	1847.883	681.4825	1525.0498	269.41418	1835.6284	905.2036	200.0	200.0	59999	598.5142	137.38745	815.75085	-10.037872	598.5141	137.39146	815.43945	-0.13364527	2.1898928	3.7061691	22.060415	-13.242453	-599.2927	44.37304	4934.654256820679
7	1501.299	237.5797	1848.8999	884.6917	1301.961	322.43204	1806.8295	712.54175	200.0	200.0	69999	635.9498	136.04144	836.9162	-1.4615508	635.94934	136.04276	836.66016	-0.13324612	1.7494948	3.6154072	21.499992	-12.34118	-636.5406	41.30124	5800.577064275742
8	1535.237	249.76761	1836.271	907.1711	1167.4172	325.34915	1763.1776	648.4811	200.0	200.0	79999	668.71136	138.17892	855.94104	11.501032	668.71155	138.17883	856.04456	12.269697	1.5928007	3.5288136	16.526245	-14.016323	-669.251	39.98385	6675.770255565643
9	1483.1416	270.90707	1850.963	861.22156	1414.3328	237.78429	1779.3574	1078.3253	200.0	200.0	89999	695.9249	138.00656	875.4608	20.478334	695.92523	138.00749	875.94763	26.68685	1.2656488	3.486793	17.686798	-13.75955	-696.27826	39.79588	7532.245475530624
10	1464.2792	250.645	1850.6868	850.1577	1490.1931	270.30133	1793.4467	1074.2738	200.0	200.0	99999	713.57153	137.779	888.2469	11.305529	713.5714	137.77908	887.72504	17.939903	0.85118175	3.3529165	17.85763	-12.587321	-713.9127	39.00865	8368.955221652985
11	1460.2024	321.32483	1855.5558	805.47626	1319.762	305.17227	1685.098	655.9117	200.0	200.0	109999	727.3143	136.11897	898.96576	2.0637167	727.3144	136.1188	898.4417	9.512404	0.61648446	3.290211	17.431473	-14.085067	-727.5661	38.064587	9207.94657444954
12	1478.4996	328.54047	1854.817	744.0184	1297.3625	240.28488	1795.3262	958.733	200.0	200.0	119999	738.0491	132.53912	905.3478	-18.560139	738.04987	132.5351	904.8045	0.51701176	0.5004234	3.2159665	17.315655	-12.339626	-738.2752	37.36462	10067.602099895477
13	1442.6294	272.4689	1850.9016	780.9739	1344.7906	412.00592	1788.3806	633.6388	200.0	200.0	129999	747.1158	131.07242	909.8331	-34.051353	747.117	131.06438	909.5969	-0.094143055	0.3320809	3.1286795	15.833931	-13.013033	-747.337	38.10743	10937.084971904755
14	1522.1392	274.36353	1867.3529	823.7501	1314.3401	369.9216	1800.6648	714.4265	200.0	200.0	139999	755.3304	127.35955	911.1992	-25.992468	755.3312	127.353546	911.5307	-0.08944968	0.24218315	3.080864	17.772707	-12.639879	-755.63	37.49319	11829.313174724579
15	1451.3718	272.796	1865.5748	666.27264	1345.8707	194.34312	1724.8259	1136.3511	200.0	200.0	149999	763.61554	122.962234	913.36633	-26.094995	763.61664	122.95251	913.4933	-0.08160153	0.14363125	3.020334	16.885561	-13.641337	-763.8758	36.30733	12676.636643886566
16	1531.9152	267.69315	1856.104	908.5364	1498.6174	238.76085	1784.1383	1096.7164	200.0	200.0	159999	769.70844	120.14034	915.8099	-40.441967	769.7127	120.11288	915.1743	-0.08945965	0.08729633	2.9199233	16.778008	-12.69303	-769.9683	37.15336	13464.2407143116
17	1469.3313	291.60565	1864.6028	831.50995	1369.4015	371.70624	1848.259	708.4522	200.0	200.0	169999	776.555	117.92093	919.3277	-74.16371	776.5628	117.86318	918.19574	-0.12563768	0.01451373	2.8797498	19.175787	-12.609649	-776.8024	37.419914	14319.875454902649
18	1505.2828	268.99142	1854.8021	868.53613	1210.8354	430.91983	1787.0677	628.34344	200.0	200.0	179999	781.9612	116.89465	921.1627	-90.41119	781.9778	116.781235	920.8106	-0.21331024	-0.05395843	2.8209445	18.871796	-12.214384	-782.1319	38.21845	15160.39064836502
19	1489.7328	261.58057	1857.1969	958.6176	1507.7234	345.8828	1803.8778	758.497	200.0	200.0	189999	785.26404	116.289635	925.8016	-90.59642	785.2827	116.15953	926.2441	-0.31438476	-0.036768332	2.817624	19.465586	-14.535957	-785.423	39.276405	15997.404468297958
20	1423.6746	269.67416	1850.1326	869.8826	1329.9485	289.9544	1793.935	954.05884	200.0	200.0	199999	789.9144	114.667046	929.05615	-82.70941	789.9271	114.578415	929.76447	-0.3829379	-0.06837265	2.7572978	21.022541	-14.1114645	-790.0539	38.351826	16843.804667711258
21	1442.0385	241.10442	1851.3197	736.64386	1367.9154	241.76846	1672.2441	1111.8395	200.0	200.0	209999	791.98206	113.99851	929.1119	-68.65594	791.9911	113.939186	930.1891	-0.43450838	-0.16227952	2.6809762	24.041714	-13.019864	-791.9948	37.76269	17668.409531116486
22	1487.1361	268.3646	1853.7411	883.1793	1536.5944	260.88647	1854.1981	1035.6808	200.0	200.0	219999	791.691	114.98182	930.6819	-75.0551	791.7011	114.915825	929.9533	-0.49401766	-0.26120332	2.6498208	18.472181	-11.845085	-791.6594	38.667614	18495.380274295807
23	1442.1445	286.41245	1858.0728	814.9136	1394.4971	235.03621	1847.7887	1121.3883	200.0	200.0	229999	791.1972	115.12224	928.22284	-76.26802	791.2087	115.05351	929.2166	-0.5613629	-0.36441562	2.6251464	20.28947	-14.155568	-791.0686	39.67961	19359.97130560875
24	1525.4268	262.99268	1858.9254	901.5888	1242.635	394.79922	1770.1696	614.30634	200.0	200.0	239999	791.2204	115.73051	930.2524	-81.58746	791.23126	115.66499	928.11475	-0.6270588	-0.39818552	2.6169958	21.342056	-11.8979225	-791.08563	39.685364	20226.978003263474
25	1480.292	281.24075	1860.9149	855.1161	1262.3008	362.28644	1685.2435	587.84534	200.0	200.0	249999	792.5884	114.877304	931.72705	-69.42179	792.5964	114.82953	930.7382	-0.6685698	-0.4972278	2.5130923	15.564879	-14.647207	-792.50323	38.649643	21081.940264225006
26	1423.024	309.03006	1859.9445	773.30145	1381.7571	221.86446	1696.3387	1148.0332	200.0	200.0	259999	794.9485	113.37048	933.6321	-80.14424	794.9589	113.29418	933.0479	-0.73073864	-0.4774246	2.5018797	15.795604	-13.38544	-794.8071	39.330086	21895.219873189926
27	1468.5447	297.51013	1859.4227	837.20905	1510.6532	219.26904	1771.7236	1062.5018	200.0	200.0	269999	797.01294	112.4589	934.0169	-94.21745	797.0264	112.36256	933.6211	-0.808752	-0.44170475	2.5381377	18.723072	-12.110342	-796.8547	40.344475	22743.978940486908
28	1451.09	279.00632	1850.5929	866.8075	1209.3943	397.8389	1778.1562	524.2705	200.0	200.0	279999	798.03253	111.19849	937.0245	-101.02322	798.04596	111.09931	932.33746	-0.89001983	-0.6232454	2.5005596	20.653978	-12.471968	-797.7998	40.552567	23581.09741806984
29	1483.9669	284.50473	1857.3516	775.59686	1586.992	206.6398	1779.615	1263.8721	200.0	200.0	289999	797.20685	108.76112	936.1726	-100.8443	797.2171	108.68643	938.68823	-0.95477414	-0.8272888	2.4669342	20.472708	-10.735035	-796.902	39.424473	24437.197762966156
