Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	13.49938	18.138071	135.11798	5.251454	12.612348	0.49372908	13.956123	12.218629	200.0	200.0	9999	11.678143	6.1617556	52.654507	-0.09577037	11.678204	6.1609116	52.084618	0.08885822	-2.7329373	0.2447326	-0.056804657	-9.146799	-12.206053	0.064454414	114.7530255317688
2	10.632172	3.6681697	22.43861	5.617282	13.715689	1.2651142	15.568351	12.109197	200.0	200.0	19999	29.152699	5.625236	123.344536	17.44006	29.152678	5.6239614	122.189095	17.406345	-2.7121704	0.3996238	14.64322	-8.70993	-29.650993	0.23193896	249.15064454078674
3	16.811884	18.34002	99.07014	5.2819242	13.407972	2.2357662	17.237263	10.664704	200.0	200.0	29999	40.70057	8.463242	285.19574	0.03226288	40.700043	8.462919	290.23352	0.108272865	-2.7052374	0.42485082	25.261513	-9.800225	-41.164795	1.8854713	376.8622806072235
4	12.415567	9.6854105	68.031265	5.1933603	12.419381	0.9088658	14.495402	11.566024	200.0	200.0	39999	48.133972	15.218798	313.43103	11.337207	48.13388	15.222067	317.20355	18.833008	-2.6189353	0.8066487	17.576288	-9.695534	-48.58654	1.2958006	513.0107924938202
5	10.481383	8.220712	62.03988	4.3247213	10.726103	1.8032898	13.650873	8.451172	200.0	200.0	49999	55.59481	24.616829	351.56107	9.7694	55.594875	24.62065	382.8371	3.21724	-2.355521	1.2497228	25.160582	-11.191148	-56.025387	3.5535426	647.2993204593658
6	10.645843	7.4095836	46.172108	3.7705889	5.342443	0.73406345	6.3712797	4.119627	200.0	200.0	59999	64.61391	27.809227	279.20416	2.8022285	64.61255	27.814203	273.8087	-5.608167	-1.6876801	1.9669628	20.393164	-11.104717	-65.059166	3.8860261	778.7654137611389
7	10.123651	3.509293	22.86548	5.9948897	7.8332214	1.048414	9.975553	7.0003176	200.0	200.0	69999	67.709145	21.735523	208.72571	11.038026	67.70913	21.736237	209.59622	9.37669	-1.9729677	1.4897872	18.523157	-10.915749	-68.11168	2.9003024	913.6592774391174
8	17.861546	20.392433	119.38993	5.191939	15.491629	10.226395	44.507317	8.353514	200.0	200.0	79999	64.40542	15.501037	195.99107	18.063862	64.40538	15.502564	189.41382	12.719656	-2.3257604	1.0316081	14.652605	-9.510305	-64.78663	2.0875504	1056.6941463947296
9	27.67268	40.298317	234.21893	7.451165	12.602037	2.529933	17.764263	10.327983	200.0	200.0	89999	60.391613	11.675913	183.359	27.698057	60.391827	11.678188	175.52063	26.976355	-2.5137641	0.7667898	12.53732	-10.025087	-60.775814	1.2729347	1192.1233053207397
10	34.24139	38.145233	165.06378	9.410615	49.915993	55.38004	159.97707	14.363208	200.0	200.0	99999	57.511196	9.199363	130.78635	28.85775	57.511276	9.201225	128.66292	28.182774	-2.6146603	0.56716794	12.80647	-10.701299	-57.901707	0.88589454	1333.72359085083
11	29.294827	32.134087	174.14536	8.767863	29.734283	11.0858965	58.564648	20.048107	200.0	200.0	109999	55.786915	7.9900045	110.54151	18.87614	55.786976	7.9906006	109.5188	21.69617	-2.6520283	0.47641033	6.460834	-8.7300625	-56.18577	0.82809484	1468.4477624893188
12	47.797276	71.72841	400.9764	5.9414787	43.93031	33.845673	102.05806	16.574852	200.0	200.0	119999	54.9902	7.551805	144.81187	13.299626	54.990246	7.5538154	142.4906	12.569763	-2.6484187	0.5009589	7.756089	-9.936926	-55.38757	1.0178345	1610.722446680069
13	48.04251	48.315914	213.35905	8.827901	32.73608	18.1618	60.340572	17.660149	200.0	200.0	129999	54.61869	8.49836	177.21442	-3.868201	54.6186	8.504428	173.41522	-4.283022	-2.628657	0.57066584	11.23484	-9.363389	-54.990025	1.5797261	1754.8094487190247
14	66.11905	82.56984	345.3361	6.3380327	48.413166	23.032944	87.17335	18.205444	200.0	200.0	139999	53.81046	9.707702	200.42891	-13.507933	53.810333	9.711557	193.69914	-16.060295	-2.5972397	0.6414849	9.855412	-10.513161	-54.153862	2.0199614	1895.2478303909302
15	68.82433	85.26928	395.42123	8.553709	50.21427	27.657999	83.05289	21.85415	200.0	200.0	149999	52.94402	11.256885	214.18997	-29.857607	52.94374	11.259139	211.55894	-28.821537	-2.5588377	0.72692037	11.209847	-9.2284775	-53.2561	2.886553	2037.278825044632
16	118.88159	132.8764	564.1959	6.9309387	269.83966	175.27838	503.5968	13.480411	200.0	200.0	159999	51.63686	12.990278	208.63507	-36.86537	51.63677	12.994655	207.99823	-39.77675	-2.512776	0.7983491	12.990688	-11.637705	-51.898613	3.9200828	2181.201149702072
17	85.40703	94.676125	548.2708	8.982029	94.409035	53.494053	168.17433	22.841764	200.0	200.0	169999	49.966045	15.024638	192.54526	-41.707077	49.965836	15.037196	189.11559	-44.331226	-2.4686966	0.844265	15.0882015	-11.239153	-50.167118	5.089631	2327.1817882061005
18	116.496056	116.400826	529.6422	7.610038	489.5787	199.5191	642.8953	19.058456	200.0	200.0	179999	48.268345	16.938763	177.8131	-41.19241	48.26746	16.949665	170.98041	-46.013065	-2.4216402	0.89249563	12.475784	-10.014057	-48.411255	6.759138	2464.8819859027863
19	81.79477	88.66616	374.66412	8.332302	281.36618	233.12906	635.98157	107.482185	200.0	200.0	189999	46.608994	18.712404	157.10559	-41.32705	46.60838	18.723433	155.91406	-51.478863	-2.3849227	0.92959774	10.835823	-10.681294	-46.70575	8.699485	2607.6455454826355
20	117.33767	130.44353	607.1109	5.895889	227.93208	258.2197	790.718	5.7504086	200.0	200.0	199999	45.841682	20.930246	172.11989	-60.521683	45.84127	20.942806	172.45021	-60.779312	-2.3463964	0.9842864	15.209423	-10.685559	-45.903404	10.903152	2746.953202724457
21	178.00964	220.45712	988.03235	7.8480873	177.79106	180.53621	500.51932	15.035857	200.0	200.0	209999	46.34116	24.87957	284.423	-64.31892	46.340797	24.891846	280.37875	-63.685192	-2.2695477	1.0892336	13.681348	-12.213181	-46.349815	15.744058	2891.7484896183014
22	170.0286	238.17561	1231.0867	8.813482	128.96245	116.55469	299.19952	11.652905	200.0	200.0	219999	47.24924	32.46607	423.54926	-80.72778	47.249393	32.477097	420.02884	-80.231384	-2.146259	1.2505504	13.98619	-11.124184	-47.180138	24.669512	3031.712821960449
23	297.72214	290.78613	1168.9258	7.6006274	117.69106	86.782814	333.7579	10.329719	200.0	200.0	229999	49.814533	45.539734	574.5472	-122.585785	49.81336	45.548573	581.09644	-122.85695	-1.9030931	1.5385402	15.938976	-10.391749	-49.666656	39.446873	3173.770139694214
24	400.38702	406.95544	1436.1853	5.259371	993.7269	519.8133	1494.5242	46.230328	200.0	200.0	239999	55.528984	66.47156	732.9732	-146.46935	55.52715	66.479996	739.6198	-138.70735	-1.556767	1.913396	19.074133	-13.078797	-55.297226	66.92107	3314.63431930542
25	464.1978	402.18286	1327.0723	4.8300767	301.02765	376.61176	1055.391	42.688354	200.0	200.0	249999	66.80181	96.286705	861.49585	-188.16132	66.80106	96.27746	863.0849	-209.98282	-1.0595661	2.4064991	22.56865	-11.911849	-66.435036	116.52193	3461.3576810359955
26	440.73254	453.89926	1590.5684	7.6426616	698.63	397.14624	1445.2407	27.67399	200.0	200.0	259999	86.187614	135.50078	962.0065	-287.51447	86.18925	135.49936	955.50446	-278.03317	-0.2661157	3.1060545	25.900444	-11.696595	-85.81024	198.80878	3605.33607673645
27	491.51886	463.0163	1496.3066	6.6302643	166.26834	227.3089	827.6156	12.670461	200.0	200.0	269999	106.42231	167.58496	996.0365	-309.3612	106.42588	167.59288	993.0784	-288.32147	0.19994842	3.1894054	65.88588	-12.871418	-105.91228	281.06558	3746.195557117462
28	487.0514	428.46783	1603.6395	7.4392886	197.7833	182.09853	549.9992	58.470642	200.0	200.0	279999	122.28936	190.21747	1030.3994	-315.9644	122.28524	190.23404	1029.4404	-300.08347	0.9692661	3.2526572	30.486187	-12.597324	-121.84561	366.66754	3889.104556322098
29	444.55417	430.11768	1545.8105	10.087915	559.4667	340.25452	1096.9689	248.23306	200.0	200.0	289999	125.09467	199.2294	1053.9418	-331.47556	125.092415	199.23647	1049.6	-331.10284	1.2321136	3.1255634	36.52979	-12.361475	-124.52218	434.35583	4030.3779017925262
30	721.64685	494.41888	1684.3452	46.711544	77.12298	86.38402	208.97345	15.724183	200.0	200.0	299999	124.07669	208.24164	1093.4932	-393.3861	124.07568	208.26024	1076.0261	-386.77213	1.3731631	3.1473405	32.596786	-13.410103	-123.44196	484.1961	4175.935962438583
31	641.9636	424.0402	1437.2886	10.480671	218.13455	236.47235	620.4754	9.931284	200.0	200.0	309999	124.417946	219.38632	1058.3813	-432.45584	124.42064	219.38614	1062.4691	-447.76416	1.4658481	3.161098	29.532286	-12.861375	-123.72188	527.76276	4320.474366188049
