Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	12.504935	6.3484178	40.35402	4.888856	15.349047	9.536743e-07	15.349046	15.349046	200.0	200.0	9999	12.063005	6.596881	44.32616	-0.099562295	12.063084	6.5967593	44.06052	0.073517986	-2.7303	0.25597918	3.1776185	-9.295766	-12.598321	0.01956879	115.46409034729004
2	13.234259	6.5372295	40.765717	6.362938	14.238722	0.0	14.238722	14.238722	200.0	200.0	19999	29.748047	4.9288926	68.00093	16.783318	29.748049	4.928748	67.28389	17.492855	-2.7308266	0.25078246	6.485449	-8.736914	-30.272413	0.03508155	244.910502910614
3	21.081823	19.26598	99.59582	6.239968	23.38847	1.9073486e-06	23.388468	23.388468	200.0	200.0	29999	41.27427	4.457696	87.49491	8.1806345	41.274254	4.4575734	86.37595	7.798218	-2.72925	0.25853977	5.159414	-9.9095955	-41.780308	0.11544657	375.7024259567261
4	19.276905	12.738962	69.418884	6.8979335	67.9076	0.0	67.9076	67.9076	200.0	200.0	39999	48.424244	5.1566415	93.948364	-0.039812736	48.42433	5.1543326	93.306015	-0.897942	-2.7167666	0.30946022	8.189324	-8.775994	-48.90876	0.4197218	508.834552526474
5	20.239498	10.1253	47.7807	6.1528196	102.52909	0.0	102.52909	102.52909	200.0	200.0	49999	52.73359	5.4403386	109.5779	1.4019675	52.733807	5.438683	113.52127	0.45086545	-2.6957788	0.4137379	12.031756	-10.547742	-53.199837	0.7544124	643.598007440567
6	24.11428	19.767796	102.65722	7.9101276	33.813843	0.0	33.813843	33.813843	200.0	200.0	59999	55.001553	6.063837	179.36829	-0.18232138	55.001728	6.065547	182.20604	-1.1137918	-2.680332	0.48357478	14.9739065	-11.774606	-55.447563	0.68510956	779.5759310722351
7	26.937796	18.984583	109.2101	9.219934	103.53617	0.0	103.53617	103.53617	200.0	200.0	69999	56.22391	7.7848716	191.173	-2.4135773	56.223675	7.7872176	194.1549	-2.7173076	-2.644943	0.6363449	14.925073	-10.138835	-56.639137	1.3973645	910.2869837284088
8	29.915173	21.159883	90.512405	9.942825	52.937664	0.0	52.937664	52.937664	200.0	200.0	79999	56.41197	7.9901266	164.89801	-1.3349735	56.411556	7.9920526	155.92067	-0.9763095	-2.6246426	0.6360832	12.310572	-9.426838	-56.819733	1.8349596	1046.4713380336761
9	29.655272	19.07466	100.76751	9.422522	100.00383	7.6293945e-06	100.00382	100.00382	200.0	200.0	89999	56.319664	7.75313	119.77448	11.654237	56.319668	7.7525034	120.68356	11.5397005	-2.6256552	0.59446245	12.640284	-9.6603365	-56.72152	1.4523163	1183.1311259269714
10	46.58292	37.13655	209.1906	8.7562895	75.917336	7.6293945e-06	75.91733	75.91733	200.0	200.0	99999	55.94383	7.791241	87.85393	13.126531	55.943874	7.792025	89.96735	13.42095	-2.644219	0.49739233	8.639176	-10.839771	-56.339256	1.1626489	1323.8872549533844
11	53.61783	56.869675	377.3574	10.916761	102.30879	0.0	102.30879	102.30879	200.0	200.0	109999	55.387405	8.277312	74.38985	16.573944	55.38748	8.277055	74.59748	17.274153	-2.641845	0.48705107	5.91355	-8.655349	-55.779236	1.2607936	1462.8857960700989
12	90.7698	86.53548	390.50626	10.931804	123.55202	0.0	123.55202	123.55202	200.0	200.0	119999	55.164906	8.853619	77.98411	9.690725	55.164917	8.853688	78.330795	10.504127	-2.6122065	0.54386044	5.4938555	-8.711089	-55.550476	1.5848353	1598.6693172454834
13	107.96133	90.65659	604.24756	16.712378	119.88566	7.6293945e-06	119.885666	119.885666	200.0	200.0	129999	55.49887	9.845189	106.07216	-6.029232	55.49901	9.843748	103.86014	-6.964539	-2.5692499	0.62185377	9.210027	-9.2225065	-55.854313	2.1815524	1729.8559987545013
14	111.88637	66.17982	259.0887	23.686382	116.51473	7.6293945e-06	116.514725	116.514725	200.0	200.0	139999	56.260025	11.874043	118.97295	-32.249638	56.260048	11.872146	121.11676	-29.758772	-2.488244	0.738715	9.612112	-9.551588	-56.572094	3.4435968	1872.0190081596375
15	120.58774	62.13377	246.41621	23.73521	203.00858	0.0	203.00858	203.00858	200.0	200.0	149999	56.988644	15.148525	147.56595	-40.811733	56.98868	15.146068	143.67392	-42.629826	-2.3611438	0.9074358	11.053516	-10.617264	-57.2438	5.437161	2015.422813653946
16	137.05489	92.41805	491.70306	26.16943	272.21585	0.0	272.21585	272.21585	200.0	200.0	159999	57.8995	18.890059	141.7288	-55.524284	57.90024	18.885462	140.51468	-58.125984	-2.2008479	1.0540203	11.764862	-12.89746	-58.118374	7.7039475	2158.6592168807983
17	175.325	116.68567	507.71667	31.644094	99.905685	7.6293945e-06	99.90568	99.90568	200.0	200.0	169999	58.123158	22.641582	151.20276	-83.59039	58.124832	22.63529	150.47777	-88.6719	-2.0237374	1.1775895	9.936817	-11.567745	-58.3145	9.690452	2302.7228100299835
18	151.3081	96.07428	682.11084	40.2427	152.0145	1.5258789e-05	152.01448	152.01448	200.0	200.0	179999	59.818295	27.245451	150.0932	-99.16963	59.818825	27.241783	151.94777	-100.46384	-1.8723539	1.2927018	10.735941	-10.943031	-59.983173	12.208585	2441.143501996994
19	133.05244	72.2398	425.90085	6.452689	103.11333	0.0	103.11333	103.11333	200.0	200.0	189999	62.82883	31.857944	174.8691	-111.56554	62.829475	31.85145	171.02852	-116.71626	-1.746811	1.3965406	11.239124	-10.9606285	-62.975536	14.851169	2582.4082686901093
20	162.59656	71.49259	336.25192	47.341	101.957825	0.0	101.957825	101.957825	200.0	200.0	199999	65.68018	35.048195	192.58537	-130.74562	65.68128	35.041634	195.50371	-128.86134	-1.6864685	1.4415989	14.044338	-13.55411	-65.79769	16.518753	2729.056592941284
21	173.43896	111.06682	692.7598	26.82775	103.621994	0.0	103.621994	103.621994	200.0	200.0	209999	68.22519	37.02347	222.19452	-147.45374	68.22636	37.018417	221.75354	-146.6723	-1.6580936	1.4493531	16.784569	-10.901303	-68.32133	18.176552	2871.137360572815
22	257.8963	162.70993	753.93915	25.700874	121.333885	7.6293945e-06	121.33389	121.33389	200.0	200.0	219999	70.69499	39.09062	272.74478	-177.8048	70.69685	39.081497	272.83276	-172.00157	-1.6608101	1.5065836	16.806673	-11.451579	-70.7351	21.849108	3019.0256860256195
23	214.84251	169.8004	678.5546	5.64008	141.88406	0.0	141.88406	141.88406	200.0	200.0	229999	72.36762	43.70018	325.12894	-257.81528	72.36968	43.681072	321.71866	-256.60876	-1.6059558	1.6370318	19.664171	-11.062522	-72.3311	31.884834	3159.1400554180145
