Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	9.676774	3.7791257	28.445425	5.8531466	11.84364	0.11506595	11.968135	11.599048	200.0	200.0	9999	11.666745	6.021367	24.269981	0.0013131946	11.666745	6.0213585	24.299656	0.011588465	-2.733316	0.23913889	-1.0990124	-9.196316	-12.206368	0.009999866	115.19545531272888
2	10.959193	6.689711	44.59975	5.112556	12.698797	0.5029139	13.349116	11.807133	200.0	200.0	19999	29.160315	4.350029	58.838367	5.231957	29.160309	4.3500466	58.742584	5.0653515	-2.7271786	0.30188853	9.704494	-9.068406	-29.690565	0.029786257	244.96844506263733
3	12.781089	17.848955	135.46733	6.163704	14.089624	2.0690892	19.42464	12.461901	200.0	200.0	29999	40.5082	5.1305594	227.1978	31.488142	40.508125	5.13057	225.05751	31.48823	-2.7159557	0.45871747	18.80786	-8.849158	-41.022263	0.15934256	389.6822261810303
4	14.545942	12.7637825	89.244606	5.5300293	12.908213	0.9165188	15.024031	12.0204	200.0	200.0	39999	47.206924	13.818128	620.69794	-19.511408	47.20618	13.820647	588.5261	-24.847284	-2.6282375	0.9245745	37.631912	-10.226566	-47.65911	7.160689	532.9606297016144
5	25.263166	94.342674	684.7607	4.866353	21.417404	6.9189167	32.63385	14.456195	200.0	200.0	49999	51.26858	37.23506	753.59937	0.06489088	51.26756	37.226616	783.7195	2.7085898	-2.4015543	1.5748261	42.6136	-9.450131	-51.704094	18.539068	676.234037399292
6	16.29899	17.655943	120.77477	5.4055095	7.052841	1.0494567	8.2572775	5.908962	200.0	200.0	59999	55.91784	69.6377	1073.285	-27.37727	55.921127	69.63033	1071.7736	-15.492319	-1.8575891	2.445682	39.806396	-11.440479	-56.212994	55.515793	811.4254310131073
7	22.047642	39.850765	280.9767	7.008336	13.9021	5.629245	20.379282	5.946484	200.0	200.0	69999	56.268616	82.86143	1113.3258	-36.356335	56.29122	82.85405	1107.0336	-97.36409	-0.78346574	3.2105951	38.223324	-12.066143	-56.613075	112.47879	951.4002511501312
8	47.300594	57.34591	244.1574	4.286206	24.45332	26.111996	78.57688	7.4013715	200.0	200.0	79999	68.07046	88.22781	976.35425	-76.08955	68.07379	88.22848	965.18396	-104.256424	-0.095863834	3.4646308	35.269863	-11.929446	-68.46536	87.20629	1097.970740556717
9	33.692307	38.0625	163.54178	6.3700185	32.37536	32.17232	121.99777	11.850077	200.0	200.0	89999	84.85375	87.3186	666.94556	-50.37126	84.85133	87.32528	661.23737	-74.96304	-0.08792832	2.8736553	28.996687	-14.785381	-85.36552	42.54798	1247.7888734340668
10	15.325418	18.146646	105.436516	7.5769615	8.655933	0.50662136	9.302234	7.9602003	200.0	200.0	99999	87.65384	73.00143	584.2686	-51.158695	87.65325	72.99994	580.21765	-52.640728	-0.37531626	2.39081	22.839844	-14.004417	-88.0687	32.173588	1386.3647286891937
11	9.362397	1.4463431	17.467125	7.2573605	9.238907	0.8950463	10.640556	8.303887	200.0	200.0	109999	78.971634	57.866062	690.9029	-69.23713	78.97174	57.871365	693.2751	-70.89038	-0.90504193	2.2545772	25.55969	-12.813289	-79.30135	25.751884	1528.4246230125427
12	9.904734	2.2715793	23.689003	6.7020817	10.323757	0.7905889	11.26964	9.006676	200.0	200.0	119999	67.896645	50.990032	862.2965	-86.61773	67.89613	50.992653	852.8944	-88.88056	-1.231135	2.3154001	24.745764	-11.51862	-68.13259	28.317013	1675.0790843963623
13	46.255287	147.7403	1016.1288	3.6750567	9.006361	1.6547993	10.9018	6.3933864	200.0	200.0	129999	57.754845	52.260212	960.89734	-110.883545	57.754673	52.272724	969.2968	-115.98271	-1.2615749	2.500881	30.603996	-11.094265	-57.898563	44.524773	1815.8137307167053
14	22.7589	24.634064	154.84634	4.130955	19.710957	11.009674	37.722073	5.408496	200.0	200.0	139999	48.833805	51.523693	1056.1576	-117.70587	48.83271	51.538788	1045.789	-119.403275	-1.2694951	2.5589569	32.561752	-11.899293	-48.858776	60.6925	1950.5613644123077
15	64.93439	138.1905	828.6801	6.284114	31.573284	23.168676	75.54077	11.332314	200.0	200.0	149999	40.323616	39.122036	1036.9185	-115.97383	40.320602	39.154476	1040.165	-119.9988	-1.0531434	2.6516852	29.929993	-14.609541	-40.358673	50.27816	2091.075615644455
