Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	15.998944	25.27215	188.40402	4.31423	10.255072	0.6639882	10.861914	8.478856	200.0	200.0	9999	11.806114	6.456541	86.200264	-0.021774728	11.806162	6.456893	88.17718	-0.021208934	-2.7252479	0.29154292	9.673596	-8.871986	-12.335429	0.1672239	1742.964366197586
2	11.435203	7.2355733	49.49313	4.569761	12.349695	1.2030886	14.978723	10.677619	200.0	200.0	19999	29.26955	15.028352	626.3748	-9.646046	29.270317	15.028381	625.8815	-7.5613637	-2.5821579	1.0574952	36.642708	-10.106262	-29.739794	2.0841773	3582.343949317932
3	11.190878	5.1719613	37.299103	3.916717	11.486888	3.7722876	16.092432	7.721735	200.0	200.0	29999	41.37739	54.00154	1805.2091	-21.69128	41.37808	54.001377	1831.6863	-19.256962	-2.21212	1.8930461	37.959785	-13.2596035	-41.768948	48.487957	5511.756447315216
4	8.861869	4.1003923	21.024721	2.0718927	5.4681387	1.7201853	7.504153	2.7943504	200.0	200.0	39999	45.912525	66.481674	2434.0254	-19.438715	45.930737	66.62042	2439.6086	-17.07268	-1.6141914	2.6013622	39.01663	-10.77103	-46.377377	134.62613	7555.438299417496
5	8.672578	8.474027	57.732433	3.0007331	4.4066353	0.29830524	4.7624784	4.0306597	200.0	200.0	49999	74.62847	158.9119	4085.2288	-34.28324	74.64851	159.17033	4049.005	-20.410225	2.187879	5.727938	99.745514	-15.772871	-76.164505	372.69385	9455.654165267944
6	9.5596075	11.657937	59.20531	2.364864	4.7731347	3.1115234	9.993841	2.4190946	200.0	200.0	59999	225.8592	330.638	5716.0186	-33.68786	225.85484	330.8564	5907.546	-29.837461	10.480085	5.767734	90.24142	-11.659674	-230.4128	1093.209	11357.953053236008
7	14.353571	15.944527	107.85277	2.4918516	3.5922577	0.5964288	4.5296593	2.9037626	200.0	200.0	69999	532.10895	649.3598	7246.292	-4.4474583	532.124	649.3902	7189.925	1.5259341	13.160581	5.7036924	89.465225	-14.013814	-542.4486	2676.411	13298.496308088303
8	14.641971	8.10402	41.251873	2.8838663	21.113632	5.87933	32.66489	12.052293	200.0	200.0	79999	983.91986	730.5847	6258.316	9.663048	983.9108	730.5675	6022.3877	4.325723	12.486132	5.476279	85.838684	-10.242602	-998.571	2709.3276	15221.369714736938
9	19.504852	11.276113	59.926723	7.342623	21.241894	13.862043	56.605396	13.87166	200.0	200.0	89999	1165.036	703.7795	5614.1963	103.50524	1165.0385	703.7542	5639.7305	113.67829	9.731096	5.180953	73.36507	-11.310436	-1173.9023	3077.146	17165.970747232437
10	17.709618	7.890344	40.251232	8.019292	11.045462	0.9744899	13.666617	10.398625	200.0	200.0	99999	1094.3351	561.2767	4769.131	71.77164	1094.3273	561.2703	4901.1216	72.77871	8.701894	4.698767	65.04391	-11.762185	-1100.4357	1847.3052	19236.474137067795
11	23.19436	15.423932	101.4911	9.900321	283.95245	506.92957	1297.6208	11.724571	200.0	200.0	109999	903.3611	393.31226	3516.69	75.31488	903.35846	393.31668	3526.1833	76.45311	7.173841	4.461468	69.889435	-13.654425	-906.2631	830.03033	21147.278843164444
12	36.161125	24.88002	114.89292	7.9956217	14.433795	12.441165	44.335884	4.0038266	200.0	200.0	119999	659.0567	272.26242	2411.212	-14.7611885	659.054	272.26355	2462.0825	8.410263	5.226538	3.8181818	52.845024	-13.445126	-659.9442	400.6142	23187.319580078125
13	39.02309	35.423244	143.7603	6.611049	21.98273	7.3543177	39.728172	12.081124	200.0	200.0	129999	433.65155	183.7727	1694.8784	-163.51141	433.65222	183.75552	1618.434	-177.74245	2.965456	3.3242545	35.23344	-14.38153	-433.38565	180.47774	25165.645284175873
14	42.600986	40.805183	163.0301	6.8150196	24.90809	22.56206	58.863754	5.332949	200.0	200.0	139999	263.44617	119.49276	1219.9167	-148.83783	263.4461	119.47974	1193.9366	-168.59084	0.9519738	2.9612513	41.95414	-12.558614	-262.94608	108.341034	27389.8980782032
15	32.73736	104.92188	764.3763	7.413014	54.274727	43.436764	130.88593	8.084537	200.0	200.0	149999	156.00195	77.35653	999.62787	-159.00528	155.99986	77.343254	987.2651	-150.87479	-0.3004283	2.4528182	29.898285	-13.002193	-155.64944	71.673325	29684.28809094429
16	21.886179	17.239168	93.33941	8.334421	15.152649	9.655693	41.686268	8.548191	200.0	200.0	159999	96.706955	52.979725	1102.984	-144.76874	96.70649	52.96909	1107.6802	-129.7318	-0.82174826	2.2702494	29.7827	-12.601711	-96.514725	49.957783	32080.371846437454
17	32.71343	74.43747	501.90207	8.461125	25.717648	12.033499	46.344624	14.782445	200.0	200.0	169999	65.79791	39.26664	1068.3169	-106.37972	65.797615	39.25787	1066.9076	-96.833	-1.0695864	2.2080445	32.899357	-13.051193	-65.70195	37.164192	34435.53586411476
18	17.818611	11.124088	66.09696	8.697753	25.587353	19.322498	74.71431	9.964354	200.0	200.0	179999	48.597797	32.841377	986.8384	-97.26127	48.597393	32.828526	978.92194	-101.053894	-1.2978163	2.0986774	28.414915	-13.894997	-48.511623	32.249004	36681.61098384857
19	49.511322	99.51007	537.88074	7.96097	52.633873	39.505062	121.27817	7.599443	200.0	200.0	189999	38.510593	32.103905	1126.1051	-97.31476	38.51006	32.100334	997.9855	-99.67461	-1.4717673	1.9545691	23.683886	-11.069937	-38.4223	25.32165	38939.10695505142
20	26.889793	33.71508	176.17072	6.3778434	16.402142	13.593632	56.911793	10.236345	200.0	200.0	199999	32.045647	32.65843	933.377	-106.72278	32.044025	32.661087	929.1487	-106.21508	-1.5222306	1.8878196	25.817833	-11.766352	-31.95635	22.64744	41115.84678888321
21	20.05377	23.299183	141.09648	6.4812236	10.164913	0.9517522	11.177592	9.000708	200.0	200.0	209999	28.511433	33.12119	917.99036	-110.287506	28.51021	33.12309	912.246	-109.40601	-1.6273731	1.7882363	20.442135	-12.739208	-28.429684	21.037159	43443.836019039154
22	16.66065	13.964291	71.32292	4.3052874	11.149472	0.6121687	12.001328	9.666449	200.0	200.0	219999	27.482494	39.84932	1265.9027	-115.431366	27.48121	39.824333	1237.4733	-113.51672	-1.4488198	1.9350622	31.355309	-11.960615	-27.40506	39.787132	45705.083501815796
23	20.008272	13.830751	63.444122	5.5749464	10.98137	1.4899392	12.977946	9.438147	200.0	200.0	229999	33.882282	57.89269	1509.8766	-121.79134	33.880123	57.86026	1472.5172	-116.964264	-1.0267029	2.2555158	25.716833	-13.10155	-33.915718	82.802734	48010.13597726822
24	24.700788	21.521088	121.5625	6.5018973	17.880003	11.790111	45.14584	7.0949855	200.0	200.0	239999	47.803417	75.525856	1423.2124	-123.49572	47.80107	75.51385	1407.7084	-120.40743	-0.40231845	2.6207516	20.604408	-12.849078	-47.936424	99.461914	50468.52960944176
25	32.718258	33.24755	123.51681	4.607463	32.598175	26.172968	90.936554	14.569566	200.0	200.0	249999	55.750732	82.710266	1390.8152	-126.495056	55.748398	82.718506	1402.6877	-126.471634	-0.5745158	2.357104	29.117188	-13.915371	-55.624733	83.6337	52786.92842197418
26	18.771685	15.990526	103.67287	5.3872714	12.663079	4.6735897	25.183653	6.6354117	200.0	200.0	259999	46.31721	72.49952	1073.0137	-139.19519	46.313057	72.4913	1068.1172	-139.10153	-1.1640784	1.868463	21.8679	-15.725532	-45.98236	64.69649	55001.30491924286
27	13.970759	14.862189	109.00824	3.9083915	52.438576	111.904274	388.10706	11.506126	200.0	200.0	269999	37.539387	62.411842	876.24774	-142.27098	37.536575	62.40665	850.95966	-144.45801	-1.2430974	1.7667868	20.633678	-13.831102	-37.19677	57.93798	57392.359130859375
28	11.44843	6.945115	49.115936	3.966504	8.508205	3.5881	15.033275	5.178049	200.0	200.0	279999	31.714417	59.103275	919.93536	-155.93619	31.710306	59.092125	921.39667	-154.70973	-1.2078862	1.9348469	23.170536	-11.791527	-31.43162	63.378445	59715.64303612709
29	21.789831	47.27023	341.08118	5.8956304	14.849358	7.092274	28.988947	10.302073	200.0	200.0	289999	33.5314	66.18141	795.54767	-153.63002	33.5304	66.1772	842.37085	-155.28714	-1.0598152	2.109187	23.707172	-11.857858	-33.379795	69.891716	62117.72958111763
30	14.650073	11.750857	67.41642	5.5302925	15.138702	5.009966	28.190004	10.202791	200.0	200.0	299999	38.65623	73.679756	654.3824	-146.81532	38.654278	73.685776	633.60095	-149.92041	-0.8356651	2.309269	23.330929	-11.75176	-38.597923	66.40088	64538.36126947403
31	12.16425	5.3642607	29.875559	5.7393923	10.910742	2.2535586	16.9291	7.3072677	200.0	200.0	309999	35.825665	69.76984	711.43634	-154.57281	35.826023	69.769196	696.41254	-158.80655	-1.0865779	2.0207567	25.419472	-12.524097	-35.637875	54.07649	66857.73229575157
32	9.972389	2.4801123	17.228079	5.8583875	8.603491	1.1872616	10.28356	7.319895	200.0	200.0	319999	32.902386	64.31191	995.5335	-161.73085	32.902622	64.29761	1029.3749	-158.57265	-1.2852069	1.8806667	31.682758	-12.378805	-32.590157	52.55545	69114.3905954361
33	13.578228	13.43106	86.51543	4.9803863	9.9111	1.2041218	12.229328	8.835233	200.0	200.0	329999	32.636738	61.505062	977.09216	-165.50468	32.63603	61.501823	1005.88184	-173.2535	-1.3118976	1.8821313	32.910877	-12.47235	-32.359837	52.521893	71456.35167360306
